year,cpi_2002,cpi_deflator_2002
2000,95.1,1.0515247108307046
2001,96.8,1.0330578512396695
2002,100.0,1.0
2003,103.4,0.9671179883945841
2004,104.9,0.9532888465204956
2005,107.4,0.9310986964618249
2006,109.2,0.9157509157509157
2007,111.3,0.8984725965858041
2008,113.2,0.8833922261484098
2009,113.5,0.8810572687224669
2010,115.9,0.8628127696289905
2011,120.0,0.8333333333333334
2012,122.0,0.819672131147541
2013,123.0,0.8130081300813008
2014,124.8,0.8012820512820513
2015,125.4,0.7974481658692185
2016,128.2,0.78003120124805
2017,131.2,0.7621951219512195
2018,134.0,0.746268656716418
2019,136.3,0.7336757153338224
2020,136.6,0.7320644216691069
