municipality,police_provider_2024
Alma,PPSA
Aroostook,PPSA
Atholville,MPSA
Baker-Brook,PPSA
Balmoral,PPSA
Bas-Caraquet,PPSA
Bath,PPSA
Bathurst,municipal
Belledune,PPSA
Beresford,municipal
Bertrand,PPSA
Blacks Harbour,PPSA
Blackville,PPSA
Bouctouche,MPSA
Cambridge-Narrows,PPSA
Campbellton,MPSA
Canterbury,PPSA
Cap-Pelé,PPSA
Caraquet,PPSA
Centreville,PPSA
Charlo,PPSA
Chipman,PPSA
Clair,PPSA
Dalhousie,PPSA
Dieppe,MPSA
Doaktown,PPSA
Dorchester,MPSA
Drummond,municipal
Edmundston,municipal
Eel River Crossing,PPSA
Florenceville-Bristol,PPSA
Fredericton,municipal
Fredericton Junction,PPSA
Gagetown,PPSA
Grand Bay-Westfield,PPSA
Grand Falls/Grand-Sault,municipal
Grand Manan,PPSA
Grande-Anse,PPSA
Hampton,MPSA
Hartland,PPSA
Harvey,PPSA
Hillsborough,PPSA
Kedgwick,PPSA
Lac Baker,PPSA
Lamèque,PPSA
Le Goulet,PPSA
Maisonnette,PPSA
McAdam,PPSA
Meductic,PPSA
Memramcook,PPSA
Millville,PPSA
Minto,PPSA
Miramichi,municipal
Moncton,MPSA
Nackawic,PPSA
New Maryland,PPSA
Nigadoo,municipal
Norton,PPSA
Néguac,PPSA
Oromocto,MPSA
Paquetville,PPSA
Perth-Andover,PPSA
Petit-Rocher,municipal
Petitcodiac,PPSA
Plaster Rock,PPSA
Pointe-Verte,municipal
Port Elgin,PPSA
Quispamsis,municipal
Rexton,PPSA
Richibucto,PPSA
Riverside-Albert,PPSA
Riverview,MPSA
Rivière-Verte,municipal
Rogersville,PPSA
Rothesay,municipal
Sackville,MPSA
Saint Andrews,MPSA
Saint George,PPSA
Saint John,municipal
Saint-André,municipal
Saint-Antoine,PPSA
Saint-François-de-Madawaska,PPSA
Saint-Hilaire,PPSA
Saint-Isidore,PPSA
Saint-Louis-de-Kent,PPSA
Saint-Léolin,PPSA
Saint-Léonard,PPSA
Saint-Quentin,PPSA
Sainte-Anne-de-Madawaska,PPSA
Sainte-Marie-Saint-Raphaël,PPSA
Salisbury,PPSA
Shediac,PPSA
Shippagan,PPSA
St. Martins,PPSA
St. Stephen,PPSA
Stanley,PPSA
Sussex,PPSA
Sussex Corner,PPSA
Tide Head,MPSA
Tracadie-Sheila,PPSA
Tracy,PPSA
Woodstock,municipal
